"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_3","old_4","old_5","old_6","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"2-Aminoadipate",16.289066078798,15.9073100119718,16.0810187643855,15.5401487548523,16.0259257304112,15.9227902566952,15.6321648549448,16.5571029131928,15.2991816497238,15.702486698907,15.8729453226912,15.9848292155262,15.7669272984495,15.6126547400256,15.7106410785398,15.3482274453181,15.1876939495363,15.4306676300005,15.1953249144305,15.9919848296522,16.0381417774566,15.752125462816,15.9123850732307,15.9919220913158,15.4431993666546
"2-Hydroxy-2-methylbutyrate",17.3442017164243,16.9836405157687,16.8043025466444,16.7269333030528,16.9175919285318,17.1143833283439,17.578049272658,16.9110612943935,16.6832775756942,16.6924010419407,17.5301367872073,16.5766418904835,18.8526003332039,17.8028815021167,18.1376315488935,16.636616508503,17.7602902048168,17.035486434778,17.4658941341465,17.8942542314583,17.8628024176343,18.5409054840509,17.374860340599,17.7618087355607,17.7844552897365
"2-Hydroxyglutarate",20.9943324630784,21.2401695430323,21.2440184801684,20.6997402025376,21.2364840716348,21.0805720770697,21.4575637599675,20.5036783130758,20.1856736075555,20.3987422348552,20.7335297786816,20.6462402353132,22.096063057141,20.4862764795585,20.8777124757314,20.8719990594275,20.3254043481774,21.1566529765726,20.5414336421972,21.2628755534081,20.7295288525395,21.4980607093948,21.3828282272764,21.136332623182,20.9722223288789
"2-Isopropylmalate",16.6766156185743,19.3446149525539,17.698044881462,17.3621802924887,18.4114089140521,17.9843044551458,18.4495119306692,18.3406359509146,18.3964851200282,18.9102022090792,17.1854032937657,17.3588952445376,18.2382344637192,17.6503152969052,16.7104556869552,17.8111552774033,18.7399180670549,22.3595725982894,18.4593989893991,20.0598625218708,18.0115455866971,19.903107845262,19.8976668381834,20.3510890416432,18.3694374305575
"2-Ketohexanoate",14.702267711634,14.5168927766406,14.8422454624359,14.5346972846733,15.1087805220091,14.5972215968607,15.1481225025141,14.4470079461609,13.869173499681,14.1272286924027,14.2472107383904,14.4280450266312,15.7420569115214,14.4327096612634,15.0033888156541,14.3198091317532,14.542099239321,14.705641292369,14.4354036187332,14.8899857915685,15.1015872844004,15.2967333722267,14.9500667036977,14.7752976653521,14.8039983374634
"3-Hydroxybutyrate",19.7526188063181,20.642059094143,20.3842209297129,19.9120491819319,19.7394690010176,20.3338235543216,20.635587749887,19.1393705186577,20.1806947630887,20.0529165147464,19.8954635556625,19.9893182750903,19.1527116245023,19.5767235971491,20.7087187976724,20.0229292867789,20.2826768099637,20.6629152199498,20.7512438473202,19.8974806519471,19.2895606372379,20.5750995040819,19.0395565417738,21.4101098992263,19.6813432030291
"3-Hydroxykynurenine",9.93409559757868,8.64837501487302,12.2087730943545,9.99757491086743,9.31907047556597,9.88223938294526,10.9442286684525,9.99592490147772,8.76789577047545,9.63768662141919,10.1796532093768,8.72441725139639,11.1876048803705,11.8289890463349,9.70011685062367,9.7535930612055,8.45842830542953,9.83271394139453,10.5507553957461,11.7358520174522,9.90482519551416,10.0748703906071,10.9385402399527,9.42141467538027,11.4086326252362
"3-Methyl-2-oxobutyrate",15.1063070621312,14.8004614637969,14.8395387435773,14.2524093792015,12.9008203293272,14.7379887684452,13.5026949900236,15.230474807016,14.098027313763,15.7848890555058,13.9378935647371,12.8623128918265,15.7443300823638,13.9560348182026,14.2079867891795,15.7433941869079,14.5858352664845,13.6761536244851,15.5017292488545,15.774207916353,13.8817753138347,14.3030454034977,14.2216894423394,15.8188043226771,15.5887853482491
"3-Phosphoglycerate",16.5262104887606,16.0970337454,15.3834914954352,15.2947295302141,15.4371429540649,15.8106642428932,15.1707289377359,14.7999530962831,16.4577041520511,16.5635532203888,15.9365077954692,15.6575375369756,16.036786356998,16.7870909377562,18.3383987640632,16.7505018571464,17.6172435264057,17.8561244581299,15.6789678760623,17.8217299474157,17.4812484870166,17.1442233999538,17.124297585432,17.2146011202597,17.2543237655218
"3-Ureidopropionate",19.918999194255,19.9048796095435,19.9729065469192,20.0201760064845,19.590532367627,20.0435510542584,20.2228814551315,19.5767028379064,19.8407873496202,19.6179407574133,20.1641027603623,20.1800595469792,20.0985267617349,20.1007641586951,19.8521191218735,20.0814799866361,20.0730598967473,19.1520978854816,20.2266722466279,20.3111403208149,20.2494484560072,20.4094503200607,19.9730723896366,20.2642008895943,19.9160525391064
"Acetyl-CoA",12.7592307723407,12.167881057811,12.1278689964997,13.1021238069469,13.3378948243498,12.9235781958908,12.3669942949005,13.2541557032713,13.2767827882919,16.0684503504003,12.1871893744242,13.2207419804775,12.822614519492,12.5279485205563,13.1636480784713,13.7002730225153,15.6189015133478,12.8829338980615,15.0476991251809,12.7564151558168,12.9570964869836,12.5129964751312,12.4237434878136,12.9252458731507,14.5221039550982
"Adenosine diphosphate",20.8630400082087,20.477568272185,20.3652954805384,20.0150942041155,20.4929617651565,20.5431969369445,19.957217729352,20.6382877491307,21.3588654932493,21.3431253839477,20.3080323269356,21.0675808628115,20.1739407644235,20.9696696689915,21.5005526454182,21.2230245369881,21.4612532487833,21.7173442391942,21.0221777188435,21.3338103536228,21.2833349047119,20.5207045385245,21.952203613245,20.3855243096877,21.3765163450924
"Adenosine monophosphate",23.7348716452952,21.4026361963908,23.2865595749836,21.6323352747039,22.5238657132797,21.9217622132902,22.3435890233521,23.1955119327749,22.6191296028853,23.3042191310771,21.1833033848691,21.2837296034339,23.0081751569788,23.0363297493032,23.5106827072127,23.2779480752373,22.4520711931282,23.8195661091705,22.7796186263256,23.101735624284,24.4480698384764,21.5748080095338,23.6666843540867,22.397148416213,23.886489556085
"Adenosine triphosphate",19.5695483313216,20.9309739009302,20.3098357973847,20.6224100182344,20.403140957787,20.4793621927504,20.8038851785045,21.191036396632,21.1269725645348,20.3313748394663,20.9989636145341,20.4137909568116,21.2515905792706,21.7877569335728,20.6129090415946,21.6694014056337,22.3255594549753,21.3431744731153,22.070303377159,20.9323816091897,21.3846599502397,22.119701356485,21.7581733701268,21.2297539791924,21.9601594691561
"Allantoin",13.075431596407,12.2561111692884,12.6123386838928,13.7436256595586,10.7460793756748,13.233861494491,12.3978980665826,10.9947670024063,12.3313010281424,13.3654048658703,11.594446250223,14.5953449887837,12.7075914791353,12.492499287444,14.7696112146235,13.8495902492742,12.73211595968,12.8613362754907,14.1509444303223,13.7915230123168,11.6922542030254,11.5600798523481,13.5764376736144,12.2592130169814,12.764430672956
"Anthranilate",14.2682401170845,15.6068084594377,15.7716205293371,15.2521691608327,16.1067766874823,15.4561842422448,15.7608586215441,15.9146840369487,15.650203383888,14.5080984301725,16.1695303441925,15.2621225831753,14.9629340008579,14.5610990753047,14.0661325329013,14.612219344508,15.1575844022739,14.8291358756633,14.9919518982352,14.1997236072762,14.2385265930834,15.5180692684694,14.9325079458207,15.2402108814447,15.4118033400375
