"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_3","old_4","old_5","old_6","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"1-Methylhistamine",22.8822322227055,22.852963830732,22.7995097420018,22.6992347721274,22.7369335771953,22.8042772715111,22.7393823240449,22.6912741792414,22.7648883481008,22.8420790418021,22.7664301681601,22.7811746011507,22.6320152094024,22.7416001288141,22.7133920578975,22.7170240047586,22.7098983666318,22.7330266746005,22.5924747775944,22.5849697046478,22.6175922098101,22.5951070894457,22.6623534570631,22.5734063352952,22.6736880762538
"2'-Deoxyadenosine",12.6612729070064,12.8109612668626,12.7271853947924,12.2130692732891,13.0072768719396,12.7970276116012,12.7982496111416,12.5901908672072,12.8356388701671,12.6003337600948,12.3684242420066,12.5907717072994,12.8913364195643,12.2347756476441,12.8092287286545,12.3577082078156,13.1126787614152,12.8288486242228,12.455744115419,12.4431783209593,13.0015178935347,12.5856987223582,12.7755404865917,12.5801621678442,12.4491883010133
"2'-Deoxycytidine",14.6999499745544,14.8960339256253,14.9403252792036,14.5137203507866,14.835434819558,15.2701763653937,14.9902701221697,14.7819010724228,15.7624185581957,15.7720503072044,14.7369918586906,15.2427438335567,13.8900781546617,14.9023258374768,14.5276859317907,15.2047569587665,15.5795990205146,15.1593827679188,13.4937202259384,15.1853931617539,14.6363641427405,13.9074552281289,14.7327500334621,14.1141322965249,13.9979578730012
"2-Methylbutyroylcarnitine",22.4191413517587,21.1800656052498,21.7297981609686,22.2799272983827,21.7332227444394,21.3758454389202,22.108175305867,21.2998658165315,21.0372244211956,22.3118572499549,22.4221226603695,21.0594172988528,20.9800413206722,23.356233961404,19.8976511369569,22.2049965504915,21.1518281461796,19.5436122979389,21.5470862697936,21.1057007361896,23.4011614914566,20.317043464006,22.2118284185304,21.2498654169559,21.165025586174
"3-Aminoisobutanoic acid",17.9609953269993,17.4533411879813,17.324885726933,18.2449250673006,17.5469820416515,17.7081671795654,17.5152283027646,17.5211896392982,18.0614754017907,17.8253570522587,17.8416829491042,17.9489167160556,17.4795784677359,17.8467464028705,17.5522629738193,17.8495737543333,17.2393648648495,16.7235792376432,17.7171603727955,17.685965270222,17.6085063583447,17.3439192374238,17.9126549447968,17.6661372138681,17.4150973422371
"3-Deazaadenosine",16.4342321472753,16.0450438693966,16.2764325716674,16.2159161175188,16.5418838215556,16.0900669173044,16.3236815211817,16.2147069562098,16.7945671482922,16.5612428566067,15.86978158174,16.4069954690968,16.2372529360215,16.6986640459051,15.8295382140135,16.7880205572743,16.0655077304704,15.954171353685,16.9568021842011,16.8639987551164,17.1402416715493,16.4024579473927,16.6055561795211,16.3330788845382,16.4939426989085
"3-Methyl-2-oxovaleric acid",16.527308929762,16.8658376866015,16.5222160516522,16.8797828924157,17.0658106686927,16.5975154526584,16.9191948082021,17.3289231953496,15.6346858129814,15.7935551567571,16.70660197589,16.6247875382126,17.1817872108986,15.8666714870657,16.6857868947255,16.6530246278453,16.3305516208309,16.7446555337347,16.2116710770135,16.4712725228836,16.6376286242155,17.2167506866287,16.6559093218013,17.4050568715953,17.346604247658
"5-Aminolevulinic acid",19.9641069465858,19.9486680275127,19.5904967006748,20.4477823153525,19.8942803438771,20.033297691862,20.0910987701299,20.048558511852,20.3087653863591,19.787626558757,20.1896922952909,20.2762909405159,20.1196849360116,20.0903203621324,20.0461196945303,20.2813140011032,19.5610879612175,19.5456384416696,20.1027000269535,20.2796483007136,19.9484870875305,20.1235570705932,19.9854112689333,20.1249142164686,20.0615365641542
"5-Hydroxyindoleacetic acid",15.5729032251233,15.8271810472288,14.5926548813286,15.2713261337029,14.6783709337942,14.90904693492,16.1087521512546,16.5050389962596,14.6862781228704,15.5911871117691,14.9838515549701,15.1185639256735,14.5113774686613,14.4556501645029,16.2375805761859,16.1785468030451,14.7067198432322,15.2031214882966,15.3437363354352,16.4259389761934,15.8854168087039,15.1972167569315,15.3397519122195,14.7065855700161,15.6928271083145
"Acetoacetic acid",19.0517758225554,18.5122529784681,18.2951811181309,19.2970370225231,18.6392049189017,18.8088881295078,18.658707343801,18.9194336005399,19.2871523098531,18.9803735348676,18.9164604831391,19.0812240265754,18.8164889017479,19.1303863606042,18.5070821069859,19.1488611287444,18.5106887015481,17.7467009362964,18.9058647731843,18.7756857635331,18.7451932664726,18.7006271591678,19.0399779015389,18.7682060264218,18.5742589725061
