"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_3","old_4","old_5","old_6","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"A1BG",25.8575679878804,24.3711917068813,23.6096404744368,24.7285815471603,24.5165310700453,24.7994650333168,25.3031274319361,25.2280259766954,23.5521549797761,25.3975430338282,24.9270530882017,24.3169996065177,24.8528144579098,25.384427534038,24.5926340491311,26.4582634148661,26.2516921673648,26.4999047514579,26.4676214695644,25.7542987172687,25.1794960827678,25.2785254587031,25.2316922938932,25.6891252582636,25.2678519571886
"A2M",24.733761786266,24.9715842481721,23.9846799057837,25.023268403461,24.7129282828488,23.3910001879615,24.5285037117114,25.543331129389,25.0649676947414,23.9671924790549,24.4738266190911,24.9225234297212,23.7285815471603,25.6011623205125,24.5044582377448,25.723382640486,25.7994650333168,25.598325161209,25.274976391622,25.8263863326321,25.2714185722088,23.6971033156872,24.6864560714876,24.9134212226139,25.1832876619301
"A2M;PZP",23.1110796195957,23.5403778119997,22.8014399755019,23.5638367848237,23.4425304886016,22.2006017157794,23.165763292278,24.224350318552,23.5754247590989,22.6583997863567,22.9315685693242,23.4676214695644,22.4922835237987,24.2462650949805,23.2404536267359,24.330739663144,24.4861574210018,24.2891205739423,23.8857648797111,24.5754247590989,23.8480452137619,22.6821750741598,23.29614100162,23.6430634759743,23.9134212226139
"AAK1",21.7955070197481,21.4475837163278,22.0122262326694,20.8423012312271,21.4169953964944,20.0291793659506,21.1206023937142,21.9097641990058,21.5777312264821,20.2534966642115,21.0177989995949,20.3211353810869,21.4014545455986,20.5823331284411,21.1825301428574,21.1332024304938,21.4169953964944,21.1580770991329,21.1142608668404,21.7994650333168,21.5020315003502,21.7097771457223,20.7389234913818,20.9459238623012,21.6275623824341
"AAMDC",24.4169953964944,25.0484323270151,22.2989396349727,25.5074859304423,24.4040563407869,24.4425304886016,25.3443500946627,24.5521549797761,25.330739663144,25.4551305253812,25.5609251894038,25.6430634759743,25.3169996065177,25.12927672728,24.6096404744368,25.2316922938932,25.2316922938932,23.4922835237987,25.1332024304938,25.3100801925779,25.010519910719,25.8528144579098,24.9846799057837,25.2820658164083,24.4425304886016
"AARS1",21.8073486323927,22.1885791875302,22.4725877224577,21.4169953964944,22.2792342256251,21.7593875939415,21.718164931215,22.6028619418057,21.9777103509689,21.337560929,21.6186292576641,21.8689129614744,22.0756149389409,22.1332024304938,22.0053888026158,22.1642293261144,22.0359052291389,21.8950426932991,21.8913387245356,22.0019578972156,21.6928538426858,22.304520667236,22.0788752681045,22.0156328341126,22.406653452273
"AASDHPPT",21.9565973638157,22.0425998817129,21.6408592050475,22.1237627346075,22.05920184905,21.4626380620501,22.1487992855448,22.312851941828,21.9423484080774,22.0258046391699,21.8764270151317,21.8346068394371,22.224350318552,22.0525839702855,21.9315685693242,22.5914931277266,22.0459355942762,21.6320082874653,22.0258046391699,22.3936208881206,21.9170689996291,22.7491918268356,22.0853739054032,22.4425304886016,22.1976054633195
"AASS",23.032546217049,21.9387640707284,23.2154903416318,23.4800051940202,23.0071012004915,23.6320082874653,22.828808994899,22.9315685693242,23.1991043673929,22.6885918158316,21.2707059542438,22.9724609999711,22.9333708119582,23.5285037117114,23.2199271315178,22.9279573157718,23.337560929,22.1518985242037,23.0190314105745,22.7994650333168,23.1237627346075,22.6949801437942,22.9297640724774,23.2035917583852,22.470106732954
"ABAT",24.1870693024726,22.2331562159274,21.4221386997704,22.6907244031244,22.535639892993,23.2820658164083,22.072347225107,22.6949801437942,22.7915381175452,23.1363353199788,21.4971657451784,20.7634458105158,22.6562188410571,23.5869203979367,23.0274929893227,22.7347956057591,23.9583686286679,24.1565349343244,22.6714166720235,22.4922835237987,22.8151893856098,22.2154903416318,23.0707105884699,23.2534966642115,23.3238859921029
"ABCA8",21.5823331284411,21.9423484080774,20.9459238623012,21.0156328341126,21.3321064989079,20.6096404744368,21.9423484080774,21.8642099130552,22.2506083848867,22.383109402342,21.5165310700453,21.9024222236647,21.0359052291389,21.7013403085736,21.6928538426858,22.4374594990541,22.262126969355,22.5800340123515,22.2214030345017,20.7553179296324,21.1764556284477,21.5403778119997,22.5380107974558,21.5914931277266,22.2592559335002
"ABCB10",20.9601377215209,21.0156328341126,20.9024222236647,21.2877123795495,20.7055648944353,20.7634458105158,20.5544989202444,21.0859632321647,20.9811993370488,20.9601377215209,19.4087547271493,20.7471439981867,20.8801694168175,20.8346068394371,21.2592559335002,20.8499548037705,20.6186292576641,20.9530482967346,21.1394614209655,20.9811993370488,21.3910001879615,21.2419086899363,21.0756149389409,20.9459238623012,21.0359052291389
"ABCB6",27.3324480056064,28.1312409141605,28.013717610678,28.3827796811565,28.3238859921029,28.0813156888289,28.2847153948223,27.6526677580314,28.3745120651729,27.9031121232749,28.1458876901249,28.1555702435223,28.4393632095229,27.7517475317394,28.1064942518249,27.9649915708616,28.29789078357,27.7389234913818,28.2579980564465,28.3661967969609,28.0762268121561,28.3238859921029,28.0813156888289,28.1794960827678,28.6039939112957
"ABCB7",22.2820658164083,22.4475837163278,21.9207075766924,21.9459238623012,21.8575679878804,20.7223406071862,21.7223406071862,21.9494904773214,22.4247034916297,21.9777103509689,21.4676214695644,21.9530482967346,21.9423484080774,22.0156328341126,22.0459355942762,21.7347956057591,22.0492636119939,22.0053888026158,22.206575616824,22.1174351146355,22.1394614209655,21.8423012312271,21.8461330928181,21.6231027342434,22.1237627346075
"ABCD3",17.825716572716,20.9387640707284,20.7553179296324,20.5165310700453,19.9278459455403,19.2255934448269,19.8482133591465,20.5165310700453,20.3211353810869,20.3321064989079,20.6452643841675,19.4278961553597,20.2302268848887,20.1580770991329,19.6607358445386,19.4870961565199,19.7083850938216,19.7611872838686,19.5590969675328,19.6791398659611,19.9459238623012,19.6672588346289,19.8309994530207,19.6556879363735,19.6499893817373
"ABCE1",21.2184497171123,21.2006017157794,21.2360796111341,21.0492636119939,21.406653452273,21.1987954404218,21.2534966642115,21.5117140537476,21.3751752207998,20.8985643876229,20.8876252217366,21.2877123795495,20.9601377215209,21.1580770991329,20.910346562785,22.0657895090848,20.8346068394371,21.6843171607313,20.7634458105158,20.6275623824341,21.2649923030494,21.1825301428574,20.7471439981867,21.4272637319482,21.2477143116175
"ABCF1",21.0558967043264,20.7795654758791,21.3266313688418,20.8268711906575,21.145693374677,18.9934774541971,20.8950426932991,20.9530482967346,20.9881520976905,20.5451002222421,21.1206023937142,20.4775369384295,20.5914931277266,20.535639892993,20.5451002222421,20.9601377215209,20.5823331284411,21.0558967043264,20.6186292576641,21.1142608668404,21.0019578972156,20.4374594990541,20.8034122178335,20.8499548037705,20.7223406071862
"ABCF2",19.3224431253814,19.4768220508345,19.5623337377491,19.2772828590052,19.5444664287534,19.410182622962,19.440769832951,19.8949687070409,19.5568933048831,19.1736485572415,19.4931830937501,19.1981212620533,19.3592112112595,19.3126414757608,20.8575679878804,19.1765578918135,19.4877124831681,19.180161694994,19.6129512644779,19.6493088122437,19.3431141307591,19.3079745414699,19.3395869006438,19.6152524491133,19.5330445053521
