metabolite,young,old,FC
NAD_x,0.0014700000000000002,0.002098393456648875,1.42747854193801
NADH_x,0.0015000000000000005,0.002474180225877495,1.6494534839183295
Q,0.0010523085242761358,0.0008642208561218411,0.8212618601719711
QH2,0.0002976914757238642,0.00048577914387815894,1.6318208060776422
Cred,0.0006349345850514223,0.0004939415672922884,0.7779408759916344
Cox,0.0020650654149485777,0.002206058432707712,1.0682753276184451
Pi_x,0.01326848224800225,0.005143877108759322,0.3876763756859834
Pi_i,0.008143261417406756,0.01006744488278076,1.2362915012480056
Pi_e_d,0.008145934651827213,0.01007007494329061,1.2362086579017417
H_x,5.4639703503837147e-8,9.822026779829617e-8,1.7975988429622156
Mg_x,0.0008877936588523601,0.0008942430323566793,1.0072644960233847
Mg_e_d,0.0009149025023052199,0.0009139974467010885,0.9990107627841754
K_x,0.10318100611437071,0.1854779865995041,1.7975981586563665
Cr,0.013313688959743166,0.010833442810915767,0.8137070682417952
PCr,0.009686311040256792,0.00885530666632909,0.9142083740162785
Cr_i,0.013301066744389103,0.010821028730717594,0.8135459312150521
PCr_i,0.009698933255611582,0.008867720746527,0.9142985638545702
ADP_e,3.8911013965927726e-5,3.451623803815991e-5,0.8870557335869971
ATP_x,0.00968257386776129,0.009648398995655436,0.9964704764897646
ATP_e,0.00897718903029007,0.008981617035061461,1.0004932506997959
ADP_i,3.612082345599331e-5,3.176065102616085e-5,0.879289229517579
ATP_i,0.008980007540465441,0.008984396531765606,1.0004887514047607
ADP_x,0.0003174261322389204,0.00035160100434463023,1.107662440595745
