metabolite,young,old,FC
NAD_x,0.00147,0.0020983934566488863,1.4274785419380178
NADH_x,0.0014999999999999998,0.0024741802258774802,1.6494534839183204
Q,0.0008281207658131136,0.0007472294897630497,0.9023194691046801
QH2,0.0005218792341868865,0.0006027705102369503,1.1549999899423022
Cred,0.0003044092354060762,0.0002979247381663197,0.9786980929435131
Cox,0.002395590764593924,0.0024020752618336806,1.0027068468185782
Pi_x,0.0017529620503194505,0.0015928255789487036,0.9086480672290855
Pi_i,0.006172509247697128,0.006906438010599761,1.1189028211138687
Pi_e_d,0.006173564997868047,0.006907482763912963,1.118880706090948
H_x,1.418100723332462e-7,1.5761552505806313e-7,1.111455078364779
Mg_x,0.0009262747925962616,0.0009103706830965438,0.9828300309726231
Mg_e_d,0.000909840197792355,0.0009097370294843619,0.9998866083206223
K_x,0.2677924271588839,0.2976392838582627,1.111455193173444
Cr,0.007904599168344342,0.006617751724927918,0.8372026947843377
PCr,0.015095400831655652,0.013068973357633122,0.8657586176994365
Cr_i,0.007899569603853981,0.00661277966162402,0.8371063226530504
PCr_i,0.015100430396146473,0.013073945420935219,0.865799522129621
ADP_e,1.4867673614369523e-5,1.4364703920625602e-5,0.9661702491734951
ATP_x,0.00947815150793463,0.009565119316890363,1.009175608649316
ATP_e,0.009001347473154392,0.009001851926687234,1.000056042001972
ADP_i,1.3778101821536846e-5,1.3283129060933701e-5,0.964075402619725
ATP_i,0.009002441273256442,0.009002937514952347,1.0000551230139518
ADP_x,0.0005218484920652769,0.0004348806831096128,0.8333466316794771
